Date,Dancer,Splitheight,Trial,Rep,Baseline,Avepeak,Stdpeak,Slope,R_squared,WaveSpeed_Ratio
02/25/04,1,2cm,1,1,34.436446936972,51.3812238962306,0.257376062895783,38.431768435516,0.986814117201901,2.2262412133811
02/25/04,1,2cm,1,2,34.436446936972,55.9047990216749,0.770637142976108,65.5965345471434,0.988478163675812,2.63549083088006
02/25/04,1,2cm,2,1,33.6706269506303,52.2101148688422,1.03884938163099,78.3758765630814,0.991322380359355,2.40440095217958
02/25/04,1,2cm,2,2,33.6706269506303,57.5022189127921,0.629190885784455,106.037872636353,0.989790851400289,2.91653237209705
02/25/04,1,2cm,3,1,34.1852698962725,55.0285341055897,0.502969349419907,83.1149271079788,0.990936837992298,2.59118166308747
02/25/04,1,2cm,3,2,34.1852698962725,59.7789794907826,0.178947560505996,100.654157520764,0.97722545974152,3.05786964252877
02/25/04,2,2cm,1,1,35.4146828491897,57.9523015198974,0.218789907803426,39.1659662405134,0.641593767763223,2.67777857647551
02/25/04,2,2cm,1,2,35.4146828491897,60.6752834813614,4.23925229009448,39.1502204071941,0.965418446107857,2.9353298725732
02/25/04,2,2cm,2,1,39.3059060305134,56.2955559575424,0.184587456074551,38.2300288001639,0.976936639409043,2.05131616218874
02/25/04,2,2cm,2,2,39.3059060305134,57.6259993863961,0.166288684871611,31.2224025713551,0.971891182572855,2.14942015770969
02/25/04,2,2cm,3,1,40.8464600253816,57.6914484181981,0.258440780486757,35.9281064867075,0.970060079968592,1.99486741685268
02/25/04,2,2cm,3,2,40.8464600253816,59.0888864034827,0.141335200855932,45.3868290906732,0.977095803662017,2.09267970347279
02/25/04,3,2cm,1,1,31.7022565294464,175.946685952628,7.81282766263304,118.495379532043,0.901429501164354,30.8022066644066
02/25/04,3,2cm,1,2,31.7022565294464,176.613008207617,36.7628581094389,261.121311846746,0.92166021135977,31.0359485955563
02/25/04,3,2cm,2,1,30.7872246178455,180.721214700693,28.9862192145376,366.59236509661,0.934658996628054,34.4569786273616
02/25/04,3,2cm,2,2,30.7872246178455,157.318164757781,46.590306036693,412.878208719632,0.976661105583884,26.1105886137025
02/25/04,3,2cm,3,1,29.9027999419758,204.09372159539,26.2805081092788,146.169092755918,0.869941377144899,46.58387153124
02/25/04,3,2cm,3,2,29.9027999419758,169.301830979933,32.6057495445809,102.8600874336,0.927732647025428,32.0552818164163
03/27/25,1,2cm,1,1,27.2859902340783,48.7856177949535,0.0961407176531282,52.7398191663675,0.956343243714026,3.19671691712894
03/27/25,1,2cm,1,2,27.2859902340783,54.0933059878451,2.75993057003104,51.610290975601,0.924779879139463,3.93013628670055
03/27/25,1,2cm,2,1,24.4887460472181,51.1405993750263,0.98981035018786,102.611201550101,0.994368344642566,4.36112497613899
03/27/25,1,2cm,2,2,24.4887460472181,53.6662332352107,1.23305538586194,79.8301143145889,0.95116381518684,4.8025194509614
03/27/25,1,2cm,3,1,30.1642309609796,53.7680212112094,0.935545565053597,56.9858402547597,0.986889905173315,3.17733928591679
03/27/25,1,2cm,3,2,30.1642309609796,58.4974762132525,1.03968753917349,134.115861470706,0.97841924322217,3.76088231831788
03/27/25,2,2cm,1,1,25.7557526585797,36.5070056661398,6.76803745644598,7.8754315521607,0.926858642476379,2.00911101613961
03/27/25,2,2cm,1,2,25.7557526585797,35.0659561739935,6.69945091185899,-225.992208456514,0.512792341447574,1.85362927520697
03/27/25,2,2cm,2,1,29.9003371698865,38.8091649449086,9.62606136142941,-261.171061469774,0.483701064505823,1.68467613987566
03/27/25,2,2cm,2,2,29.9003371698865,31.4113001246349,0.0412025672706441,15.5132025241842,0.981955451592589,1.10362023172608
03/27/25,2,2cm,3,1,30.4331012456468,86.4336062485437,41.8110279359717,902.89361381553,0.325374385509933,8.06627167336424
03/27/25,2,2cm,3,2,30.4331012456468,69.9670533583527,22.1919433810867,749.229263809561,0.480416619882168,5.28560551048267
03/27/25,3,2cm,1,1,32.5664334360633,117.249124667362,6.73907604116103,128.08893497986,0.0488436688247198,12.9622030656549
03/27/25,3,2cm,1,2,32.5664334360633,136.41811575489,37.8012256573888,452.027183632352,0.977280708994757,17.5470331203078
03/27/25,3,2cm,2,1,31.9620442594686,203.743508237603,26.4109203527473,617.618949387785,0.961139557584791,40.6348314614468
03/27/25,3,2cm,2,2,31.9620442594686,140.989047594544,16.8730999774214,631.07956493904,0.922826995732956,19.4581549071315
03/27/25,3,2cm,3,1,32.0303505168005,187.220101609749,12.6364817666519,414.221448866491,0.998587387399672,34.1650114524134
03/27/25,3,2cm,3,2,32.0303505168005,149.318039617949,13.6035397701863,429.199369903754,0.979658315599465,21.7320740598788
